SKU,QTY
684538,0
684835,0
684101,5
684049,6
684117,3
711505,1
712601,9
712618,11
713707,13
713714,9
714803,10
603008,8
711019,1
720637,7
4010510,4
4010511,30
4010512,25
4010513,20
4010514,0
4010521,15
4010516,9
4010518,1
4010519,11
4010520,14
4010515,11
800103,12
800105,1
800188,8
800110,10
800101,0
800118,4
800199,7
800120,2
800102,3
800178,7
4003447,11
4003432,9
4003450,50
4003451,79
4003454,33
4003455,71
4003456,73
4003458,2
4003464,42
4003467,33
4003468,0
4003460,3
4003437,29
4003438,7
4003439,32
4003442,76
4003443,43
4003444,6
4003445,34
4003446,1
4003436,17
4003424,1
4003425,2
4003430,1
4003431,6
4003448,72
6000501,2
1005324,1
1005325,3
1005326,4
1005327,3
1005328,3
1005329,12
1005330,3
1005331,12
1005364,5
1005365,3
1006779,3
1006781,25
1006782,17
1005332,5
1005333,13
1005334,9
1005335,3
1005336,3
1005337,7
1005338,3
1005339,3
1005340,5
1005341,6
1005342,13
1005343,8
1005344,22
1005345,4
1005346,2
1005347,1
1005349,5
1005351,1
1005352,6
1005353,4
1005354,9
1005355,9
1005357,3
1005358,1
1005359,6
1005360,4
1005361,5
1005362,3
1005363,1
6002239,12
6520009,3
6351009,5
6351016,13
6611691,1
6068327,1
6810674,5
6030065,18
6000440,5
1005311,4
1005312,3
1005314,17
1005315,15
1005317,3
1005318,1
1005319,6
1005320,1
1005323,4
4007898,7
4007899,0
4007900,6
4007901,13
4007902,4
4007903,50
4007904,7
4007906,6
021185,9
603440,6
021857,6
4002917,17
4007886,6
4007889,4
019823,2
015818,59
019793,28
032266,9
138107,6
019748,4
017744,5
019731,1
017706,7
019892,5
020720,1
4012680,2
4012681,0
4012682,0
4012683,0
4012684,0
4012685,3
4012686,4
4012687,7
4012688,9
4012689,8
4012690,4
4012691,6
4012692,3
4012693,9
4012714,4
4012715,0
4012716,5
4012717,6
4012718,13
4012719,0
4012720,9
4012721,3
4012722,3
4012723,5
4012724,5
4012725,1
4012726,4
4012727,5
4012728,5
4012729,5
4012730,5
4012731,5
4012732,0
4012733,5
4012735,2
4012736,6
4012739,9
4012740,2
4012741,7
4012742,6
4012743,2
4012744,4
4007892,0
4007893,2
4007894,2
4007895,3
4007896,5
9001189,0
9001190,0
9001191,2
9001192,0
9001197,1
9001194,1
9001195,2
9001196,2
9001193,0
078506,7
1007415,20
1007370,0
1007371,0
1007373,8
1007374,4
1007375,0
1007376,3
1007377,109
1007379,3
1007381,1
1007382,8
1007383,5
1007385,4
1007389,7
1007390,1
1007391,0
1007393,2
1007394,6
1007395,1
1007396,25
1007397,2
1007400,6
1007402,3
1007403,0
1007404,7
1007405,0
1007406,0
1007408,0
1007409,0
1007410,1
1007411,0
1007413,0
1007414,0
1007416,0
1007417,6
1007418,6
1007419,6
1007420,13
1007421,7
1007422,3
1007424,2
1007425,0
1007426,13
1007427,6
1007429,2
081630,3
082514,1
1007430,16
1007431,2
1007432,6
1007433,0
1007434,0
1007435,18
1007438,12
1007439,11
1007440,16
1007441,8
1007442,0
1007443,0
1007378,2
023203,0
9001855,35
9001856,1
9001857,0
9001858,3
9001859,0
9001860,1
9001861,0
9001862,2
482317,1
415803,1
481310,4
4011078,5
4011815,6
4011816,6
4011817,19
4011818,3
4011819,13
4011820,15
4011821,13
4011822,11
4011823,8
4011824,2
4011825,17
4011826,0
4011827,118
4011828,114
4011074,8
4011075,13
4011077,0
4011076,2
9005279,4
9005291,0
9005290,0
9005289,0
9005288,1
9005287,0
9005286,2
9005285,2
9005284,1
9005283,0
9005282,1
9005281,3
9005280,2
9005278,6
9005277,1
9005276,2
9005275,5
9004613,1
9004614,6
9004605,12
9004606,29
9004607,3
9004608,3
9004612,2
9004611,3
9004610,5
9004609,7
9004615,2
2000366,19
2000372,0
2000367,26
2000377,40
1003316,4
2000373,0
2000375,22
4014929,8
4014930,6
4014931,8
4014932,5
4014933,24
4014935,11
4014936,13
4014937,7
